,uid,lat,lng,venueID,venue_descr,time,city_name,First_Category,Second_Category,step,epoch,city,simulation_state
0,926,40.73055521058451,-73.98624265505508,926,Italian Restaurant,2012-08-10 22:49:16+00:00,New York City,Dining and Drinking,Restaurant,,,,
1,926,40.71487,-73.9995,11102,Asian Restaurant,2012-07-06 04:36:42+00:00,New York City,Dining and Drinking,Restaurant,,,,
2,926,40.71634959086067,-73.9927563653087,34769,Chinese Restaurant,2012-05-11 03:11:22+00:00,New York City,Dining and Drinking,Restaurant,,,,
3,926,40.6945577171308,-73.98578524589539,14475,College Academic Building,2012-05-11 19:06:20+00:00,New York City,Community and Government,Education,,,,
4,926,40.73485228613973,-73.99108529090881,1524,Food & Drink Shop,2012-10-12 01:44:54+00:00,New York City,Retail,Food and Beverage Retail,,,,
5,926,40.717774483333336,-73.998229,4350,Italian Restaurant,2012-10-12 19:45:42+00:00,New York City,Dining and Drinking,Restaurant,,,,
6,926,40.7180896098452,-74.00085371776025,33704,Deli / Bodega,2012-10-12 19:46:20+00:00,New York City,Dining and Drinking,Restaurant,,,,
7,926,40.74130690856319,-73.99004459381104,7217,Gym / Fitness Center,2012-10-12 23:12:01+00:00,New York City,Sports and Recreation,Gym and Studio,,,,
8,926,40.74130690856319,-73.99004459381104,7217,Gym / Fitness Center,2012-10-19 01:15:36+00:00,New York City,Sports and Recreation,Gym and Studio,,,,
9,926,40.74130690856319,-73.99004459381104,7217,Gym / Fitness Center,2012-10-19 01:32:33+00:00,New York City,Sports and Recreation,Gym and Studio,,,,
10,926,40.72886860074364,-73.98738384246826,36814,Ice Cream Shop,2012-08-06 01:49:37+00:00,New York City,Dining and Drinking,Dessert Shop,,,,
11,926,40.61189615145365,-73.98330997854927,5962,Japanese Restaurant,2012-07-09 00:12:35+00:00,New York City,Dining and Drinking,Restaurant,,,,
12,926,40.71553668131168,-73.99857547529987,3343,Caf�,2012-05-14 01:48:59+00:00,New York City,Dining and Drinking,"Cafe, Coffee, and Tea House",,,,
13,926,40.74130690856319,-73.99004459381104,7217,Gym / Fitness Center,2012-10-22 12:29:18+00:00,New York City,Sports and Recreation,Gym and Studio,,,,
14,926,40.71487,-73.9995,11102,Asian Restaurant,2012-10-22 23:18:42+00:00,New York City,Dining and Drinking,Restaurant,,,,
15,926,40.76275282248875,-73.9894392788162,32676,Thai Restaurant,2012-08-11 05:49:05+00:00,New York City,Dining and Drinking,Restaurant,,,,
16,926,40.764217,-73.988321,3947,Latin American Restaurant,2012-08-11 05:49:45+00:00,New York City,Dining and Drinking,Restaurant,,,,
17,926,40.76403129827644,-73.98403644561768,35721,Bar,2012-08-11 08:02:51+00:00,New York City,Dining and Drinking,Bar,,,,
18,926,40.71553668131168,-73.99857547529987,3343,Caf�,2012-08-18 19:43:50+00:00,New York City,Dining and Drinking,"Cafe, Coffee, and Tea House",,,,
19,926,40.71607,-73.99738,6397,Chinese Restaurant,2012-07-07 01:02:20+00:00,New York City,Dining and Drinking,Restaurant,,,,
20,926,40.715573,-73.997995,2661,Bakery,2012-07-07 20:29:17+00:00,New York City,Dining and Drinking,Bakery,,,,
21,926,40.714464086511576,-73.9991158246994,191,Chinese Restaurant,2012-07-14 07:25:51+00:00,New York City,Dining and Drinking,Restaurant,,,,
22,926,40.74042545905963,-74.0078661730023,31011,Bar,2012-07-28 06:03:34+00:00,New York City,Dining and Drinking,Bar,,,,
23,926,40.75060566631584,-73.98532390594482,21827,Bar,2012-06-09 03:33:11+00:00,New York City,Arts and Entertainment,Night Club,,,,
24,926,40.71487,-73.9995,11102,Asian Restaurant,2012-06-09 07:36:34+00:00,New York City,Dining and Drinking,Restaurant,,,,
25,926,40.706905,-74.003751,12757,Electronics Store,2012-06-16 23:37:27+00:00,New York City,Retail,Computers and Electronics Retail,,,,
26,926,40.71487,-73.9995,11102,Asian Restaurant,2012-05-12 04:07:24+00:00,New York City,Dining and Drinking,Restaurant,,,,
27,926,40.7141264852575,-73.99873041960055,3037,Ramen /  Noodle House,2012-05-12 23:57:37+00:00,New York City,Dining and Drinking,Restaurant,,,,
28,926,40.75020529762241,-73.98643204358353,3318,Korean Restaurant,2012-10-13 00:47:08+00:00,New York City,Dining and Drinking,Restaurant,,,,
29,926,40.74434084563527,-73.99042637629252,2098,BBQ Joint,2012-10-27 01:10:39+00:00,New York City,Dining and Drinking,Restaurant,,,,
30,926,40.719615130040495,-73.99529866093064,2242,Bar,2012-08-05 22:01:49+00:00,New York City,Dining and Drinking,Bar,,,,
31,926,40.762844,-73.987543,3534,Korean Restaurant,2012-08-12 05:08:48+00:00,New York City,Dining and Drinking,Restaurant,,,,
32,926,40.71554971735815,-73.99845600128174,8398,Chinese Restaurant,2012-08-12 09:15:00+00:00,New York City,Dining and Drinking,Restaurant,,,,
33,926,40.633613,-74.014332,4188,Seafood Restaurant,2012-08-19 16:47:43+00:00,New York City,Dining and Drinking,Restaurant,,,,
34,926,40.73771556288177,-73.98822261680137,390,Seafood Restaurant,2012-07-01 00:54:21+00:00,New York City,Dining and Drinking,Restaurant,,,,
35,926,40.762844,-73.987543,3534,Korean Restaurant,2012-07-01 03:25:18+00:00,New York City,Dining and Drinking,Restaurant,,,,
36,926,40.762844,-73.987543,3534,Korean Restaurant,2012-07-08 04:12:38+00:00,New York City,Dining and Drinking,Restaurant,,,,
37,926,40.72093181227365,-74.00045775313227,7086,Clothing Store,2012-07-08 20:35:29+00:00,New York City,Retail,Fashion Retail,,,,
38,926,40.715221631740434,-73.99872468092497,23047,Chinese Restaurant,2012-07-15 21:45:47+00:00,New York City,Dining and Drinking,Restaurant,,,,
39,926,40.74146907651656,-73.99362293035705,22543,Bar,2012-07-29 03:40:52+00:00,New York City,Dining and Drinking,Bar,,,,
40,926,40.722002,-73.9856342,2263,Diner,2012-07-29 08:11:56+00:00,New York City,Dining and Drinking,Restaurant,,,,
41,926,40.689649,-73.992413,2440,Food & Drink Shop,2012-06-03 22:01:50+00:00,New York City,Retail,Food and Beverage Retail,,,,
42,926,40.633613,-74.014332,4188,Seafood Restaurant,2012-05-06 18:10:13+00:00,New York City,Dining and Drinking,Restaurant,,,,
43,926,40.68430926459708,-73.97653193850032,5824,Department Store,2012-05-06 19:18:10+00:00,New York City,Retail,Department Store,,,,
44,926,40.715594,-73.998234,174,Ice Cream Shop,2012-05-13 01:05:54+00:00,New York City,Dining and Drinking,Dessert Shop,,,,
