,uid,lat,lng,venueID,venue_descr,time,city_name,First_Category,Second_Category
120876,766,40.755612636697954,-73.98959996944906,2979,Donut Shop,2012-04-13 12:45:52+00:00,New York City,Dining and Drinking,Donut Shop
120877,766,40.827024,-73.987236,10661,Sushi Restaurant,2012-04-13 22:39:26+00:00,New York City,Dining and Drinking,Restaurant
120878,766,40.754052,-73.987177,10727,Deli / Bodega,2012-04-27 17:34:35+00:00,New York City,Dining and Drinking,Restaurant
120879,766,40.755666467820014,-73.98954257995278,2979,Donut Shop,2012-07-06 12:46:45+00:00,New York City,Dining and Drinking,Donut Shop
120880,766,40.74876866841641,-73.98546788185718,8419,Clothing Store,2012-07-06 17:56:01+00:00,New York City,Retail,Fashion Retail
120881,766,40.754052,-73.987177,10727,Deli / Bodega,2012-07-06 18:15:16+00:00,New York City,Dining and Drinking,Restaurant
120882,766,40.822795,-73.989825,19714,Cosmetics Shop,2012-07-06 22:28:30+00:00,New York City,Retail,Cosmetics Store
120883,766,40.755666467820014,-73.98954257995278,2979,Donut Shop,2012-07-13 12:53:34+00:00,New York City,Dining and Drinking,Donut Shop
120884,766,40.753447928267605,-73.98612213498515,2972,Deli / Bodega,2012-07-13 17:30:15+00:00,New York City,Dining and Drinking,Restaurant
120885,766,40.75394279991134,-73.98449223708757,4108,Bar,2012-07-13 21:53:42+00:00,New York City,Dining and Drinking,Bar
120886,766,40.75151596433163,-73.99352073669434,1614,Bar,2012-07-13 23:16:47+00:00,New York City,Dining and Drinking,Bar
120887,766,40.819869,-74.000269,13019,Japanese Restaurant,2012-07-20 23:42:57+00:00,New York City,Dining and Drinking,Restaurant
120888,766,40.755666467820014,-73.98954257995278,2979,Donut Shop,2012-06-01 12:51:00+00:00,New York City,Dining and Drinking,Donut Shop
120889,766,40.755666467820014,-73.98954257995278,2979,Donut Shop,2012-06-08 12:46:01+00:00,New York City,Dining and Drinking,Donut Shop
120890,766,40.75418129107015,-73.98693707874614,10846,Drugstore / Pharmacy,2012-06-08 16:57:17+00:00,New York City,Retail,Pharmacy
120891,766,40.75315436423719,-73.98905476854135,8595,Mexican Restaurant,2012-06-08 17:46:29+00:00,New York City,Dining and Drinking,Restaurant
120892,766,40.755666467820014,-73.98954257995278,2979,Donut Shop,2012-06-15 13:08:42+00:00,New York City,Dining and Drinking,Donut Shop
120893,766,40.7553778972661,-73.98956553575336,2979,Donut Shop,2012-05-04 12:46:27+00:00,New York City,Dining and Drinking,Donut Shop
