,uid,lat,lng,venueID,venue_descr,time,city_name,First_Category,Second_Category
6271,45,40.74619,-73.998091,16334,Drugstore / Pharmacy,2012-04-13 17:20:14+00:00,New York City,Retail,Pharmacy
6272,45,40.74716991449647,-74.00063565038526,2350,Pizza Place,2012-04-13 17:32:15+00:00,New York City,Dining and Drinking,Restaurant
6273,45,40.74723001213214,-74.00054957108993,18237,Food & Drink Shop,2012-04-20 13:42:33+00:00,New York City,Retail,Food and Beverage Retail
6274,45,40.74723001213214,-74.00054957108993,18237,Food & Drink Shop,2012-04-20 16:47:16+00:00,New York City,Retail,Food and Beverage Retail
6275,45,40.7469649008078,-74.00089740452755,9945,Food & Drink Shop,2012-04-20 17:03:22+00:00,New York City,Retail,Food and Beverage Retail
6276,45,40.75076674481722,-74.0084400122996,35107,Other Great Outdoors,2012-04-27 15:10:51+00:00,New York City,Landmarks and Outdoors,Field
6278,45,40.75648423972708,-74.00510598192578,35097,Scenic Lookout,2012-04-27 15:15:35+00:00,New York City,Landmarks and Outdoors,Scenic Lookout
6279,45,40.74579648862496,-73.99826558632256,9324,Drugstore / Pharmacy,2012-06-01 15:19:59+00:00,New York City,Retail,Pharmacy
6280,45,40.73213693038047,-73.98493766784668,7484,Medical Center,2012-05-11 13:10:35+00:00,New York City,Health and Medicine,Physician
6281,45,40.73245806356103,-73.98517370223999,11547,Fried Chicken Joint,2012-05-11 13:11:28+00:00,New York City,Dining and Drinking,Restaurant
6282,45,40.75729387996712,-73.99322121194734,495,Food & Drink Shop,2012-05-11 15:08:07+00:00,New York City,Retail,Food and Beverage Retail
6283,45,40.757337564451085,-73.99326138382618,11986,Seafood Restaurant,2012-05-11 15:13:15+00:00,New York City,Dining and Drinking,Restaurant
6284,45,40.75684745958904,-73.99362802505493,29014,Ramen /  Noodle House,2012-05-11 15:22:18+00:00,New York City,Dining and Drinking,Restaurant
6285,45,40.757140113186864,-73.99350815375443,491,Cupcake Shop,2012-05-11 15:25:06+00:00,New York City,Dining and Drinking,Dessert Shop
6286,45,40.74991623931148,-73.99869598754455,4877,Food & Drink Shop,2012-05-11 16:00:09+00:00,New York City,Retail,Food and Beverage Retail
