,uid,lat,lng,venueID,venue_descr,time,city_name,First_Category,Second_Category
163970,1063,40.78704095342141,-74.18669349578173,20772,Bank,2012-04-06 13:41:26+00:00,New York City,Business and Professional Services,Financial Service
163971,1063,40.79660659499556,-74.17898251866193,13536,Food & Drink Shop,2012-06-08 22:14:34+00:00,New York City,Retail,Food and Beverage Retail
163972,1063,40.78545132,-74.18494290000001,21449,Candy Store,2012-06-15 10:48:44+00:00,New York City,Retail,Food and Beverage Retail
163973,1063,40.79691397,-74.17997812,18137,Donut Shop,2012-06-15 10:54:28+00:00,New York City,Dining and Drinking,Donut Shop
163974,1063,40.81208082,-74.18913915,20737,Parking,2012-06-15 11:06:03+00:00,New York City,Travel and Transportation,Parking
163975,1063,40.80957082514866,-74.16648374814064,15658,Gas Station / Garage,2012-06-15 11:12:33+00:00,New York City,Travel and Transportation,Fuel Station
163976,1063,40.7827836335372,-74.18432235717773,11307,Food & Drink Shop,2012-05-18 14:29:58+00:00,New York City,Retail,Food and Beverage Retail
163977,1063,40.824648526250215,-74.13560271263123,6934,Department Store,2012-05-18 23:46:10+00:00,New York City,Retail,Department Store
163978,1063,40.788968028628375,-74.1523900890718,27656,Pet Store,2012-04-23 15:04:52+00:00,New York City,Retail,Pet Supplies Store
163979,1063,40.83746665017121,-74.15320873260498,9863,Pet Store,2012-04-23 15:33:17+00:00,New York City,Retail,Pet Supplies Store
163980,1063,40.87270168464777,-74.17771339416504,12803,Video Game Store,2012-04-23 16:00:10+00:00,New York City,Retail,Computers and Electronics Retail
163981,1063,40.87304328441709,-74.17785307722313,19572,Miscellaneous Shop,2012-04-23 16:08:16+00:00,New York City,Retail,Miscellaneous Store
163982,1063,40.870905,-74.181339,15137,Pet Store,2012-04-23 16:29:21+00:00,New York City,Retail,Pet Supplies Store
163983,1063,40.79691397,-74.17997812,18137,Donut Shop,2012-06-04 12:11:06+00:00,New York City,Dining and Drinking,Donut Shop
163984,1063,40.77790038629762,-74.19154350717584,30093,School,2012-06-11 14:34:13+00:00,New York City,Community and Government,Education
163985,1063,40.78581237792969,-74.18067932128906,31239,Candy Store,2012-06-11 22:27:27+00:00,New York City,Retail,Food and Beverage Retail
163986,1063,40.861564,-74.071916,16028,Deli / Bodega,2012-05-07 10:56:39+00:00,New York City,Dining and Drinking,Restaurant
163987,1063,40.84120527898384,-74.15902421865839,8389,Donut Shop,2012-05-07 10:58:50+00:00,New York City,Dining and Drinking,Donut Shop
163988,1063,40.81208082,-74.18913915,20737,Parking,2012-05-07 11:04:53+00:00,New York City,Travel and Transportation,Parking
163989,1063,40.779109247679216,-74.18373527039786,16138,Food & Drink Shop,2012-05-07 18:21:05+00:00,New York City,Retail,Food and Beverage Retail
163990,1063,40.77906995340784,-74.18814965913035,27648,Convenience Store,2012-05-07 18:38:42+00:00,New York City,Retail,Convenience Store
163991,1063,40.77801208591309,-74.18891213379312,19042,Snack Place,2012-05-07 18:56:41+00:00,New York City,Dining and Drinking,Snack Place
163992,1063,40.81208082,-74.18913915,20737,Parking,2012-05-07 21:00:17+00:00,New York City,Travel and Transportation,Parking
163993,1063,40.82813222965962,-74.18702027359329,14125,Salon / Barbershop,2012-05-14 21:29:04+00:00,New York City,Business and Professional Services,Health and Beauty Service
163994,1063,40.83746665017121,-74.15320873260498,9863,Pet Store,2012-05-14 22:41:37+00:00,New York City,Retail,Pet Supplies Store
163995,1063,40.80332477451794,-74.14633487773128,12057,Fast Food Restaurant,2012-05-14 23:43:10+00:00,New York City,Dining and Drinking,Restaurant
163996,1063,40.861564,-74.071916,16028,Deli / Bodega,2012-05-21 11:46:18+00:00,New York City,Dining and Drinking,Restaurant
163997,1063,40.84120527898384,-74.15902421865839,8389,Donut Shop,2012-05-21 11:50:15+00:00,New York City,Dining and Drinking,Donut Shop
163998,1063,40.78250466410389,-74.18289251149312,16575,Fast Food Restaurant,2012-05-21 12:14:18+00:00,New York City,Dining and Drinking,Restaurant
163999,1063,40.812347616993385,-74.11921977996826,9547,Food & Drink Shop,2012-04-07 18:28:42+00:00,New York City,Retail,Food and Beverage Retail
164000,1063,40.824648526250215,-74.13560271263123,6934,Department Store,2012-04-07 20:21:24+00:00,New York City,Retail,Department Store
164001,1063,40.78581237792969,-74.18067932128906,31239,Candy Store,2012-04-07 21:36:51+00:00,New York City,Retail,Food and Beverage Retail
164002,1063,40.79691751000055,-74.17977333068848,18702,Food & Drink Shop,2012-04-21 10:59:54+00:00,New York City,Retail,Food and Beverage Retail
164003,1063,40.80957082514866,-74.16648374814064,15658,Gas Station / Garage,2012-04-21 11:18:43+00:00,New York City,Travel and Transportation,Fuel Station
164004,1063,40.794513338780895,-74.12861824035645,12009,Bank,2012-04-21 11:30:51+00:00,New York City,Business and Professional Services,Financial Service
164005,1063,40.80821651902045,-74.19194480265871,9828,Fast Food Restaurant,2012-04-21 16:16:26+00:00,New York City,Dining and Drinking,Restaurant
164006,1063,40.816258131928485,-74.1861832626065,30780,Convenience Store,2012-04-21 18:45:31+00:00,New York City,Retail,Convenience Store
164007,1063,40.80821651902045,-74.19194480265871,9828,Fast Food Restaurant,2012-04-21 18:47:40+00:00,New York City,Dining and Drinking,Restaurant
164008,1063,40.84014523570922,-74.15842294692993,19641,Arts & Crafts Store,2012-04-21 19:59:51+00:00,New York City,Retail,Arts and Crafts Store
164009,1063,40.824786543313365,-74.1840648651123,19127,School,2012-04-28 16:56:49+00:00,New York City,Community and Government,Education
164010,1063,40.870905,-74.181339,15137,Pet Store,2012-04-28 18:24:40+00:00,New York City,Retail,Pet Supplies Store
164011,1063,40.87074280239354,-74.18230200466958,15463,American Restaurant,2012-04-28 18:38:06+00:00,New York City,Dining and Drinking,Restaurant
164012,1063,40.88227406571999,-74.21217441558838,15006,Food & Drink Shop,2012-04-28 19:24:16+00:00,New York City,Retail,Food and Beverage Retail
164013,1063,40.8136683028241,-74.18843630410899,25054,Indian Restaurant,2012-06-09 16:44:57+00:00,New York City,Dining and Drinking,Restaurant
164014,1063,40.824786543313365,-74.1840648651123,19127,School,2012-06-09 17:07:03+00:00,New York City,Community and Government,Education
164015,1063,40.82994979882479,-74.13805961608887,22983,Electronics Store,2012-06-09 20:06:31+00:00,New York City,Retail,Computers and Electronics Retail
164016,1063,40.80547929368668,-74.19283338241432,7668,Food & Drink Shop,2012-05-05 16:28:21+00:00,New York City,Retail,Food and Beverage Retail
164017,1063,40.824786543313365,-74.1840648651123,19127,School,2012-05-05 16:48:08+00:00,New York City,Community and Government,Education
164018,1063,40.78115408156498,-74.18102352228162,17083,Italian Restaurant,2012-05-05 19:23:01+00:00,New York City,Dining and Drinking,Restaurant
164019,1063,40.824786543313365,-74.1840648651123,19127,School,2012-05-12 17:24:28+00:00,New York City,Community and Government,Education
164020,1063,40.80547929368668,-74.19283338241432,7668,Food & Drink Shop,2012-05-19 16:43:33+00:00,New York City,Retail,Food and Beverage Retail
164021,1063,40.824786543313365,-74.1840648651123,19127,School,2012-05-19 17:09:45+00:00,New York City,Community and Government,Education
164022,1063,40.80142180826614,-74.16504461549165,10081,Wings Joint,2012-05-26 22:59:55+00:00,New York City,Dining and Drinking,Restaurant
164023,1063,40.779109247679216,-74.18373527039786,16138,Food & Drink Shop,2012-04-15 12:38:54+00:00,New York City,Retail,Food and Beverage Retail
164024,1063,40.861564,-74.071916,16028,Deli / Bodega,2012-04-15 13:23:36+00:00,New York City,Dining and Drinking,Restaurant
164025,1063,40.79691751000055,-74.17977333068848,18702,Food & Drink Shop,2012-04-15 13:30:56+00:00,New York City,Retail,Food and Beverage Retail
164026,1063,40.7827836335372,-74.18432235717773,11307,Food & Drink Shop,2012-04-15 19:03:57+00:00,New York City,Retail,Food and Beverage Retail
164027,1063,40.77801208591309,-74.18891213379312,19042,Snack Place,2012-04-29 15:50:24+00:00,New York City,Dining and Drinking,Snack Place
164028,1063,40.833778,-74.24825,16294,Convenience Store,2012-04-29 18:20:33+00:00,New York City,Retail,Convenience Store
164029,1063,40.7827836335372,-74.18432235717773,11307,Food & Drink Shop,2012-04-29 20:05:47+00:00,New York City,Retail,Food and Beverage Retail
164030,1063,40.779109247679216,-74.18373527039786,16138,Food & Drink Shop,2012-04-29 20:17:11+00:00,New York City,Retail,Food and Beverage Retail
164031,1063,40.7827836335372,-74.18432235717773,11307,Food & Drink Shop,2012-06-03 14:15:05+00:00,New York City,Retail,Food and Beverage Retail
164032,1063,40.78255274575557,-74.18381553295066,25992,Clothing Store,2012-06-03 15:20:37+00:00,New York City,Retail,Fashion Retail
164033,1063,40.79691397,-74.17997812,18137,Donut Shop,2012-06-10 13:55:31+00:00,New York City,Dining and Drinking,Donut Shop
164034,1063,40.779109247679216,-74.18373527039786,16138,Food & Drink Shop,2012-06-10 21:35:24+00:00,New York City,Retail,Food and Beverage Retail
164035,1063,40.79660659499556,-74.17898251866193,13536,Food & Drink Shop,2012-05-06 19:04:38+00:00,New York City,Retail,Food and Beverage Retail
164036,1063,40.79691751000055,-74.17977333068848,18702,Food & Drink Shop,2012-05-06 19:08:42+00:00,New York City,Retail,Food and Beverage Retail
164037,1063,40.79340869038084,-74.25605535507202,5017,Movie Theater,2012-05-13 18:37:33+00:00,New York City,Arts and Entertainment,Movie Theater
164038,1063,40.79276701118004,-74.25639867782593,11522,Pet Store,2012-05-13 22:05:19+00:00,New York City,Retail,Pet Supplies Store
164039,1063,40.786962,-74.18700623,21155,Food & Drink Shop,2012-05-13 22:40:07+00:00,New York City,Retail,Food and Beverage Retail
164040,1063,40.76216227469877,-74.08059597015381,34000,Park,2012-05-27 18:52:45+00:00,New York City,Landmarks and Outdoors,Park
164041,1063,40.84606226354869,-74.15560684003539,17010,Food & Drink Shop,2012-05-27 19:06:11+00:00,New York City,Retail,Food and Beverage Retail
164042,1063,40.79691751000055,-74.17977333068848,18702,Food & Drink Shop,2012-04-05 11:42:24+00:00,New York City,Retail,Food and Beverage Retail
164043,1063,40.80091595649719,-74.19761002063751,18750,Building,2012-04-05 11:51:11+00:00,New York City,Landmarks and Outdoors,Structure
164044,1063,40.84070098141872,-74.15947145483983,10559,Sporting Goods Shop,2012-04-19 21:54:57+00:00,New York City,Retail,Sporting Goods Retail
164045,1063,40.84014523570922,-74.15842294692993,19641,Arts & Crafts Store,2012-04-19 22:17:29+00:00,New York City,Retail,Arts and Crafts Store
164046,1063,40.84606226354869,-74.15560684003539,17010,Food & Drink Shop,2012-04-19 22:19:11+00:00,New York City,Retail,Food and Beverage Retail
164047,1063,40.786932,-74.187176,26144,Pizza Place,2012-04-19 22:55:29+00:00,New York City,Dining and Drinking,Restaurant
164048,1063,40.77894503562594,-74.18740689754486,13943,Paper / Office Supplies Store,2012-05-17 23:02:30+00:00,New York City,Retail,Office Supply Store
164049,1063,40.78041095936213,-74.13557721814145,19191,Medical Center,2012-05-31 16:28:43+00:00,New York City,Health and Medicine,Physician
164050,1063,40.8415611,-74.15981,14933,Miscellaneous Shop,2012-04-03 19:42:40+00:00,New York City,Retail,Miscellaneous Store
164051,1063,40.77906995340784,-74.18814965913035,27648,Convenience Store,2012-04-03 20:35:02+00:00,New York City,Retail,Convenience Store
164052,1063,40.79691751000055,-74.17977333068848,18702,Food & Drink Shop,2012-04-17 10:59:31+00:00,New York City,Retail,Food and Beverage Retail
164053,1063,40.7973888605413,-74.17938384137383,17874,Drugstore / Pharmacy,2012-04-17 17:31:08+00:00,New York City,Retail,Pharmacy
164054,1063,40.79691751000055,-74.17977333068848,18702,Food & Drink Shop,2012-04-17 17:33:19+00:00,New York City,Retail,Food and Beverage Retail
164055,1063,40.777499592657584,-74.19113647801079,30093,School,2012-04-17 18:09:21+00:00,New York City,Community and Government,Education
