,uid,lat,lng,venueID,venue_descr,time,city_name,First_Category,Second_Category
117559,745,40.71945037152671,-73.98781514808185,1098,Bar,2012-04-13 02:47:39+00:00,New York City,Dining and Drinking,Bar
117560,745,40.71945037152671,-73.98781514808185,1098,Bar,2012-04-13 02:48:17+00:00,New York City,Dining and Drinking,Bar
117561,745,40.75372797263211,-73.98368835767094,726,Park,2012-04-13 21:20:56+00:00,New York City,Landmarks and Outdoors,Park
117562,745,40.754018027698336,-73.98453241079356,4108,Bar,2012-04-13 21:22:05+00:00,New York City,Dining and Drinking,Bar
117563,745,40.760353,-73.989636,2332,Bar,2012-04-20 01:00:51+00:00,New York City,Dining and Drinking,Bar
117564,745,40.73528249691621,-73.99040315158283,758,Park,2012-04-20 19:07:18+00:00,New York City,Landmarks and Outdoors,Park
117565,745,40.72884268160186,-73.98814227092512,5309,Pizza Place,2012-04-20 21:24:42+00:00,New York City,Dining and Drinking,Restaurant
117566,745,40.72038388818859,-73.98955979680346,30635,Italian Restaurant,2012-04-27 15:02:11+00:00,New York City,Dining and Drinking,Restaurant
117567,745,40.758205,-73.992809,1715,Bar,2012-07-06 00:00:38+00:00,New York City,Dining and Drinking,Bar
117568,745,40.71945037152671,-73.98781514808185,1098,Bar,2012-07-06 05:02:19+00:00,New York City,Dining and Drinking,Bar
117569,745,40.72908901998626,-73.9842454555664,23327,Tapas Restaurant,2012-07-13 03:07:15+00:00,New York City,Dining and Drinking,Restaurant
117570,745,40.71945037152671,-73.98781514808185,1098,Bar,2012-07-13 04:35:03+00:00,New York City,Dining and Drinking,Bar
117571,745,40.71945037152671,-73.98781514808185,1098,Bar,2012-07-13 04:35:43+00:00,New York City,Dining and Drinking,Bar
117572,745,40.71945037152671,-73.98781514808185,1098,Bar,2012-07-13 22:55:39+00:00,New York City,Dining and Drinking,Bar
117573,745,40.696914,-73.935362,7473,Deli / Bodega,2012-06-01 13:56:30+00:00,New York City,Dining and Drinking,Restaurant
117574,745,40.72038388818859,-73.98955979680346,30635,Italian Restaurant,2012-06-08 16:22:52+00:00,New York City,Dining and Drinking,Restaurant
117575,745,40.721502075213984,-73.98914337158203,1146,Bar,2012-06-08 21:03:45+00:00,New York City,Dining and Drinking,Bar
117576,745,40.69705195512047,-73.93480816942602,4462,Food & Drink Shop,2012-05-04 03:58:07+00:00,New York City,Retail,Food and Beverage Retail
117577,745,40.696914,-73.935362,7473,Deli / Bodega,2012-05-04 13:47:14+00:00,New York City,Dining and Drinking,Restaurant
117578,745,40.72038388818859,-73.98955979680346,30635,Italian Restaurant,2012-05-04 17:38:06+00:00,New York City,Dining and Drinking,Restaurant
117579,745,40.71945037152671,-73.98781514808185,1098,Bar,2012-05-04 18:37:27+00:00,New York City,Dining and Drinking,Bar
117580,745,40.71945037152671,-73.98781514808185,1098,Bar,2012-05-04 18:37:59+00:00,New York City,Dining and Drinking,Bar
117581,745,40.74514799387085,-73.99811064164594,692,Bar,2012-05-11 02:02:03+00:00,New York City,Dining and Drinking,Bar
117582,745,40.69580515914389,-73.93361412525577,33767,Deli / Bodega,2012-05-11 14:36:38+00:00,New York City,Dining and Drinking,Restaurant
117583,745,40.72038388818859,-73.98955979680346,30635,Italian Restaurant,2012-05-11 14:56:22+00:00,New York City,Dining and Drinking,Restaurant
117584,745,40.71945037152671,-73.98781514808185,1098,Bar,2012-05-11 21:45:25+00:00,New York City,Dining and Drinking,Bar
117585,745,40.71945037152671,-73.98781514808185,1098,Bar,2012-05-11 21:45:56+00:00,New York City,Dining and Drinking,Bar
117586,745,40.71086890828106,-74.0070341029628,32381,Food & Drink Shop,2012-05-11 23:54:36+00:00,New York City,Retail,Food and Beverage Retail
117587,745,40.85023419367948,-73.9332352443189,7954,Caribbean Restaurant,2012-05-18 14:27:48+00:00,New York City,Dining and Drinking,Restaurant
117588,745,40.71945037152671,-73.98781514808185,1098,Bar,2012-05-18 22:39:31+00:00,New York City,Dining and Drinking,Bar
117589,745,40.71945037152671,-73.98781514808185,1098,Bar,2012-05-18 22:40:15+00:00,New York City,Dining and Drinking,Bar
117590,745,40.72038388818859,-73.98955979680346,30635,Italian Restaurant,2012-05-25 15:51:43+00:00,New York City,Dining and Drinking,Restaurant
117591,745,40.81821533976433,-73.96058739425644,1128,BBQ Joint,2012-05-25 23:15:34+00:00,New York City,Dining and Drinking,Restaurant
117592,745,40.69580515914389,-73.93361412525577,33767,Deli / Bodega,2012-04-09 16:22:36+00:00,New York City,Dining and Drinking,Restaurant
117593,745,40.71945037152671,-73.98781514808185,1098,Bar,2012-04-09 17:43:25+00:00,New York City,Dining and Drinking,Bar
117594,745,40.71945037152671,-73.98781514808185,1098,Bar,2012-04-09 17:44:04+00:00,New York City,Dining and Drinking,Bar
117595,745,40.719964151380175,-73.98799305706578,815,Candy Store,2012-04-09 18:06:34+00:00,New York City,Retail,Food and Beverage Retail
117596,745,40.731844250688674,-73.98386478424072,2238,Pizza Place,2012-04-09 18:24:12+00:00,New York City,Dining and Drinking,Restaurant
117597,745,40.75372797263211,-73.98368835767094,726,Park,2012-04-09 18:49:57+00:00,New York City,Landmarks and Outdoors,Park
117598,745,40.754018027698336,-73.98453241079356,4108,Bar,2012-04-09 18:50:52+00:00,New York City,Dining and Drinking,Bar
117599,745,40.760753,-73.990799,587,Bar,2012-04-09 21:01:51+00:00,New York City,Dining and Drinking,Bar
117600,745,40.752129292541305,-73.98607048350347,30089,Pizza Place,2012-04-09 22:21:02+00:00,New York City,Dining and Drinking,Restaurant
117601,745,40.73825661285316,-73.99113800155543,34546,Indian Restaurant,2012-04-09 22:56:02+00:00,New York City,Dining and Drinking,Restaurant
117602,745,40.71945037152671,-73.98781514808185,1098,Bar,2012-04-09 23:47:03+00:00,New York City,Dining and Drinking,Bar
117603,745,40.69580515914389,-73.93361412525577,33767,Deli / Bodega,2012-04-16 15:27:34+00:00,New York City,Dining and Drinking,Restaurant
