,uid,lat,lng,venueID,venue_descr,time,city_name,First_Category,Second_Category,step,epoch,city,simulation_state
0,515,40.76262089239258,-73.98968605366133,5340,Thai Restaurant,2012-04-13 00:17:38+00:00,New York City,Dining and Drinking,Restaurant,,,,
1,515,40.82223885,-73.95327687263489,23472,Food Truck,2012-04-20 03:36:58+00:00,New York City,Dining and Drinking,Food Truck,,,,
2,515,40.72603917082711,-73.98208379745483,24886,Performing Arts Venue,2012-04-20 16:33:24+00:00,New York City,Arts and Entertainment,Performing Arts Venue,,,,
3,515,40.752043933832766,-73.9854621427848,33560,Smoke Shop,2012-04-20 16:46:13+00:00,New York City,Retail,Smoke Shop,,,,
4,515,40.82446718763418,-73.9537396744875,24359,General Entertainment,2012-04-27 16:45:14+00:00,New York City,Arts and Entertainment,General Entertainment,,,,
5,515,40.760962308046174,-73.99209639592335,29461,Scenic Lookout,2012-04-27 17:58:05+00:00,New York City,Landmarks and Outdoors,Scenic Lookout,,,,
6,515,40.7632138239065,-73.98908346336458,13918,Thrift / Vintage Store,2012-04-27 19:05:23+00:00,New York City,Retail,Vintage and Thrift Store,,,,
7,515,40.73347071903565,-74.00228836535156,820,Bar,2012-08-10 03:18:39+00:00,New York City,Dining and Drinking,Bar,,,,
8,515,40.762621,-73.989528,27475,Spanish Restaurant,2012-07-13 20:21:21+00:00,New York City,Dining and Drinking,Restaurant,,,,
9,515,40.741498,-73.995208,5221,Electronics Store,2012-07-27 21:42:27+00:00,New York City,Retail,Computers and Electronics Retail,,,,
10,515,40.72603917082711,-73.98208379745483,24886,Performing Arts Venue,2012-06-01 17:35:04+00:00,New York City,Arts and Entertainment,Performing Arts Venue,,,,
11,515,40.731895408411134,-73.98397571726198,937,Bar,2012-05-04 02:10:18+00:00,New York City,Dining and Drinking,Bar,,,,
12,515,40.74706188749892,-74.00519371032715,965,Park,2012-05-04 18:07:59+00:00,New York City,Landmarks and Outdoors,Park,,,,
13,515,40.7632138239065,-73.98908346336458,13918,Thrift / Vintage Store,2012-05-04 18:55:41+00:00,New York City,Retail,Vintage and Thrift Store,,,,
14,515,40.82446718763418,-73.9537396744875,24359,General Entertainment,2012-10-12 05:33:03+00:00,New York City,Arts and Entertainment,General Entertainment,,,,
15,515,40.73347071903565,-74.00228836535156,820,Bar,2012-10-19 02:25:27+00:00,New York City,Dining and Drinking,Bar,,,,
16,515,40.7632138239065,-73.98908346336458,13918,Thrift / Vintage Store,2012-09-14 18:00:50+00:00,New York City,Retail,Vintage and Thrift Store,,,,
17,515,40.76404824,-73.9884,5562,Sushi Restaurant,2012-04-09 18:16:07+00:00,New York City,Dining and Drinking,Restaurant,,,,
18,515,40.82254101525289,-73.95314271171823,31599,Sandwich Place,2012-04-09 23:32:29+00:00,New York City,Dining and Drinking,Restaurant,,,,
19,515,40.7632138239065,-73.98908346336458,13918,Thrift / Vintage Store,2012-04-16 17:00:31+00:00,New York City,Retail,Vintage and Thrift Store,,,,
20,515,40.76430758425931,-73.98882150650024,1274,Bar,2012-04-23 22:38:50+00:00,New York City,Dining and Drinking,Bar,,,,
21,515,40.731895408411134,-73.98397571726198,937,Bar,2012-08-06 01:02:40+00:00,New York City,Dining and Drinking,Bar,,,,
22,515,40.73299870199674,-73.98549556732178,27637,Breakfast Spot,2012-08-06 08:54:06+00:00,New York City,Dining and Drinking,Breakfast Spot,,,,
23,515,40.76430758425931,-73.98882150650024,1274,Bar,2012-08-13 03:59:25+00:00,New York City,Dining and Drinking,Bar,,,,
24,515,40.73347071903565,-74.00228836535156,820,Bar,2012-07-09 02:26:48+00:00,New York City,Dining and Drinking,Bar,,,,
25,515,40.73251710536965,-74.00978852786966,7872,Bar,2012-07-09 03:16:51+00:00,New York City,Dining and Drinking,Bar,,,,
26,515,40.82212070509068,-73.95367653428183,9529,Fast Food Restaurant,2012-07-09 05:37:04+00:00,New York City,Dining and Drinking,Restaurant,,,,
27,515,40.73347071903565,-74.00228836535156,820,Bar,2012-07-30 00:42:32+00:00,New York City,Dining and Drinking,Bar,,,,
28,515,40.731895408411134,-73.98397571726198,937,Bar,2012-06-04 02:51:43+00:00,New York City,Dining and Drinking,Bar,,,,
29,515,40.746452,-74.00139115,1250,Diner,2012-06-11 23:15:40+00:00,New York City,Dining and Drinking,Restaurant,,,,
30,515,40.7632138239065,-73.98908346336458,13918,Thrift / Vintage Store,2012-06-18 16:43:26+00:00,New York City,Retail,Vintage and Thrift Store,,,,
31,515,40.731895408411134,-73.98397571726198,937,Bar,2012-05-07 02:49:52+00:00,New York City,Dining and Drinking,Bar,,,,
32,515,40.72603917082711,-73.98208379745483,24886,Performing Arts Venue,2012-05-07 21:41:26+00:00,New York City,Arts and Entertainment,Performing Arts Venue,,,,
33,515,40.71265872860487,-74.00588035583496,4478,Government Building,2012-05-14 16:03:25+00:00,New York City,Community and Government,Government Building,,,,
34,515,40.75363718792576,-73.99983224212427,23608,American Restaurant,2012-05-21 21:37:38+00:00,New York City,Dining and Drinking,Restaurant,,,,
35,515,40.7632138239065,-73.98908346336458,13918,Thrift / Vintage Store,2012-05-28 15:48:23+00:00,New York City,Retail,Vintage and Thrift Store,,,,
36,515,40.7632138239065,-73.98908346336458,13918,Thrift / Vintage Store,2012-10-22 16:19:17+00:00,New York City,Retail,Vintage and Thrift Store,,,,
37,515,40.7632138239065,-73.98908346336458,13918,Thrift / Vintage Store,2012-04-07 17:24:09+00:00,New York City,Retail,Vintage and Thrift Store,,,,
38,515,40.73352071858248,-74.00242609095476,4570,Park,2012-04-14 04:01:44+00:00,New York City,Landmarks and Outdoors,Park,,,,
39,515,40.76454,-73.991329,28901,Thrift / Vintage Store,2012-04-14 20:42:00+00:00,New York City,Retail,Vintage and Thrift Store,,,,
40,515,40.73247875382112,-74.0098229579299,7872,Bar,2012-04-21 04:50:10+00:00,New York City,Dining and Drinking,Bar,,,,
41,515,40.73347071903565,-74.00228836535156,820,Bar,2012-04-21 05:43:24+00:00,New York City,Dining and Drinking,Bar,,,,
42,515,40.7632138239065,-73.98908346336458,13918,Thrift / Vintage Store,2012-04-28 17:23:47+00:00,New York City,Retail,Vintage and Thrift Store,,,,
43,515,40.72603917082711,-73.98208379745483,24886,Performing Arts Venue,2012-04-28 21:50:16+00:00,New York City,Arts and Entertainment,Performing Arts Venue,,,,
44,515,40.72459570391395,-73.99055837150034,988,Bar,2012-07-07 04:41:08+00:00,New York City,Dining and Drinking,Bar,,,,
45,515,40.76430758425931,-73.98882150650024,1274,Bar,2012-07-07 23:18:18+00:00,New York City,Dining and Drinking,Bar,,,,
46,515,40.73347071903565,-74.00228836535156,820,Bar,2012-06-09 03:38:48+00:00,New York City,Dining and Drinking,Bar,,,,
47,515,40.762171789917296,-73.98978935466506,29431,Dessert Shop,2012-06-30 20:26:45+00:00,New York City,Dining and Drinking,Dessert Shop,,,,
48,515,40.762621,-73.989528,27475,Spanish Restaurant,2012-06-30 20:43:30+00:00,New York City,Dining and Drinking,Restaurant,,,,
49,515,40.73347071903565,-74.00228836535156,820,Bar,2012-05-05 02:46:27+00:00,New York City,Dining and Drinking,Bar,,,,
50,515,40.7632138239065,-73.98908346336458,13918,Thrift / Vintage Store,2012-05-05 15:00:25+00:00,New York City,Retail,Vintage and Thrift Store,,,,
51,515,40.762621,-73.989528,27475,Spanish Restaurant,2012-05-05 18:09:23+00:00,New York City,Dining and Drinking,Restaurant,,,,
52,515,40.759220487652186,-73.98880004882812,35300,Mexican Restaurant,2012-05-05 18:09:52+00:00,New York City,Dining and Drinking,Restaurant,,,,
53,515,40.73251710536965,-74.00978852786966,7872,Bar,2012-05-05 22:00:48+00:00,New York City,Dining and Drinking,Bar,,,,
54,515,40.73039709329277,-74.0115237236023,18362,Bar,2012-05-05 22:47:20+00:00,New York City,Dining and Drinking,Bar,,,,
55,515,40.72603917082711,-73.98208379745483,24886,Performing Arts Venue,2012-05-12 02:33:53+00:00,New York City,Arts and Entertainment,Performing Arts Venue,,,,
56,515,40.72603917082711,-73.98208379745483,24886,Performing Arts Venue,2012-05-12 17:55:14+00:00,New York City,Arts and Entertainment,Performing Arts Venue,,,,
57,515,40.706413,-74.006155,27625,Salon / Barbershop,2012-05-12 22:36:57+00:00,New York City,Business and Professional Services,Health and Beauty Service,,,,
58,515,40.70479851319973,-74.0063167982994,34583,General Entertainment,2012-05-12 22:49:00+00:00,New York City,Arts and Entertainment,General Entertainment,,,,
59,515,40.71403657578396,-74.00580607573977,2127,Gym / Fitness Center,2012-05-19 00:13:49+00:00,New York City,Sports and Recreation,Gym and Studio,,,,
60,515,40.714781,-74.007359,14364,Diner,2012-05-19 01:49:30+00:00,New York City,Dining and Drinking,Restaurant,,,,
61,515,40.72603917082711,-73.98208379745483,24886,Performing Arts Venue,2012-05-19 03:14:58+00:00,New York City,Arts and Entertainment,Performing Arts Venue,,,,
62,515,40.82446718763418,-73.9537396744875,24359,General Entertainment,2012-05-19 04:33:34+00:00,New York City,Arts and Entertainment,General Entertainment,,,,
63,515,40.72647822818215,-73.98197650909422,35642,Performing Arts Venue,2012-05-19 04:40:11+00:00,New York City,Arts and Entertainment,Performing Arts Venue,,,,
64,515,40.7316328701106,-73.98935794830322,35645,Bar,2012-05-19 04:59:20+00:00,New York City,Arts and Entertainment,Night Club,,,,
65,515,40.73982744086438,-73.98959398269653,35643,Performing Arts Venue,2012-05-19 13:41:42+00:00,New York City,Arts and Entertainment,Performing Arts Venue,,,,
66,515,40.72981171731587,-73.99075269699097,35644,General Entertainment,2012-05-19 14:40:51+00:00,New York City,Arts and Entertainment,General Entertainment,,,,
67,515,40.73347071903565,-74.00228836535156,820,Bar,2012-05-26 03:21:26+00:00,New York City,Dining and Drinking,Bar,,,,
68,515,40.73083612189599,-73.99764060974121,896,Park,2012-05-26 03:45:20+00:00,New York City,Landmarks and Outdoors,Park,,,,
69,515,40.726142,-73.989499,22033,Bar,2012-05-26 03:59:32+00:00,New York City,Dining and Drinking,Bar,,,,
70,515,40.726142,-73.989499,22033,Bar,2012-10-27 03:41:14+00:00,New York City,Dining and Drinking,Bar,,,,
71,515,40.73251710536965,-74.00978852786966,7872,Bar,2012-10-27 23:53:18+00:00,New York City,Dining and Drinking,Bar,,,,
72,515,40.774697291507216,-73.98194979831837,2817,Movie Theater,2012-09-15 02:15:44+00:00,New York City,Arts and Entertainment,Movie Theater,,,,
73,515,40.73163416578763,-74.06380164079923,30640,Other Great Outdoors,2012-04-08 01:31:45+00:00,New York City,Landmarks and Outdoors,Other Great Outdoors,,,,
74,515,40.74627255751513,-74.15686829582812,24403,Church,2012-04-08 01:59:08+00:00,New York City,Community and Government,Spiritual Center,,,,
75,515,40.74995,-74.155355,30707,Art Gallery,2012-04-08 01:59:48+00:00,New York City,Arts and Entertainment,Art Gallery,,,,
76,515,40.72999058274405,-73.99120330810547,6125,Sculpture Garden,2012-04-15 17:00:32+00:00,New York City,Landmarks and Outdoors,Sculpture Garden,,,,
77,515,40.73001497344702,-73.99150371551514,2732,Coffee Shop,2012-04-15 17:21:41+00:00,New York City,Dining and Drinking,"Cafe, Coffee, and Tea House",,,,
78,515,40.73441328403598,-73.99959325790405,14381,Garden,2012-04-15 18:52:34+00:00,New York City,Landmarks and Outdoors,Garden,,,,
79,515,40.7608782375,-73.990818,6305,Bar,2012-04-22 02:26:39+00:00,New York City,Dining and Drinking,Bar,,,,
80,515,40.726142,-73.989499,22033,Bar,2012-04-22 03:21:48+00:00,New York City,Dining and Drinking,Bar,,,,
81,515,40.72603917082711,-73.98208379745483,24886,Performing Arts Venue,2012-04-22 03:41:40+00:00,New York City,Arts and Entertainment,Performing Arts Venue,,,,
82,515,40.726104216543966,-73.98921310901642,149,Bar,2012-04-22 04:38:38+00:00,New York City,Dining and Drinking,Bar,,,,
83,515,40.72459570391395,-73.99055837150034,988,Bar,2012-04-22 04:51:24+00:00,New York City,Dining and Drinking,Bar,,,,
84,515,40.72543749493236,-73.9898407459259,9202,Indian Restaurant,2012-04-22 08:03:57+00:00,New York City,Dining and Drinking,Restaurant,,,,
