,venueID,category,nearby_same_category,total_nearby
0,33236,Restaurant,1225,3881
1,791,Restaurant,1650,5293
2,6720,Restaurant,20,56
5,7469,Health and Beauty Service,116,4148
6,1328,Bar,230,3162
7,5041,Restaurant,1285,4454
8,4924,Restaurant,1226,3878
10,35766,Structure,64,4237
11,1928,Restaurant,1221,3865
12,7264,Park,89,4255
13,2642,"Cafe, Coffee, and Tea House",202,4336
18,5848,Restaurant,389,1504
19,24553,Restaurant,539,2016
20,2149,Bar,393,4804
21,23850,Restaurant,1349,4781
22,982,Bar,438,5258
23,2521,Restaurant,925,3247
24,1308,Lodging,126,5166
25,12420,Bar,451,5080
26,7948,Restaurant,1407,4700
27,30003,Bar,416,4690
28,841,Restaurant,1423,4705
30,2075,Restaurant,400,1438
31,29743,Restaurant,1619,5156
32,816,Record Store,25,5380
33,2757,Bar,637,5501
34,4195,Computers and Electronics Retail,41,5285
35,6266,Music Store,3,4966
36,21082,Restaurant,1586,5021
37,6427,Restaurant,648,2352
38,690,Bar,657,5648
39,680,Restaurant,1823,5875
40,1793,Museum,23,1486
41,3193,Bar,45,553
42,183,Bar,246,3344
43,2166,Performing Arts Venue,191,3445
44,22855,Restaurant,2132,6755
45,425,Restaurant,1647,5659
46,35300,Restaurant,1566,5458
47,30964,Restaurant,419,1627
48,1056,Park,89,4156
49,6248,Restaurant,475,1850
50,35612,General Entertainment,5,658
51,2152,Restaurant,180,646
52,5115,Restaurant,386,1566
53,257,"Cafe, Coffee, and Tea House",68,1631
54,672,Restaurant,1360,4275
55,26195,General Entertainment,82,6537
56,4130,Restaurant,432,1698
57,1284,Restaurant,680,2476
60,2342,Restaurant,681,2469
61,1240,Bar,243,3327
62,6832,Bar,84,1331
63,23833,Restaurant,466,1820
65,27985,Restaurant,554,1653
66,25697,Flea Market,3,1623
67,2184,Bar,239,1199
68,11438,Fashion Retail,14,1000
69,1874,Restaurant,285,996
70,24004,Restaurant,256,883
71,2880,Bar,218,3050
73,538,Bar,105,1833
76,18142,Bar,604,5286
78,6069,Restaurant,1520,5112
83,524,Restaurant,1902,6073
87,1188,Restaurant,1952,6462
88,7012,Bar,723,6476
91,7737,Gift Store,12,3295
93,7483,Food Truck,83,6716
94,431,Restaurant,974,3433
95,24171,Restaurant,1669,5339
96,27058,Bar,545,4822
97,983,Restaurant,1340,4266
99,14857,Restaurant,1148,3615
100,2817,Movie Theater,19,3344
102,1235,Restaurant,54,194
107,29388,States and Municipalities,3,263
108,6919,"Cafe, Coffee, and Tea House",310,6450
109,8027,Department Store,0,91
110,24536,Gym and Studio,1,144
111,1705,Food and Beverage Retail,110,5119
112,5843,"Cafe, Coffee, and Tea House",2,81
114,1285,"Cafe, Coffee, and Tea House",188,3794
115,16830,Restaurant,16,61
116,3974,Pier,0,56
123,2360,Plaza,32,5738
124,5187,"Cafe, Coffee, and Tea House",261,5598
126,7010,"Cafe, Coffee, and Tea House",139,2844
127,11714,Bar,0,80
128,10200,"Cafe, Coffee, and Tea House",0,65
129,17737,Bridge,1,37
130,10274,Arts and Crafts Store,1,88
131,20270,Fashion Retail,231,5644
132,15798,Design Studio,17,5946
135,32007,"Cafe, Coffee, and Tea House",2,115
147,8632,Breakfast Spot,0,104
148,4389,Restaurant,31,144
149,3921,Bridge,1,125
150,10941,Bar,5,89
152,1354,Beach,3,19
153,28580,Restaurant,19,80
154,22714,Other Great Outdoors,2,128
155,23359,Restaurant,62,275
156,8986,Restaurant,50,199
157,11384,Restaurant,78,284
158,32918,Other Great Outdoors,4,151
160,17610,Food and Beverage Retail,6,77
162,3470,"Cafe, Coffee, and Tea House",282,6148
163,9896,Fashion Retail,206,5114
168,4105,Restaurant,1963,6439
169,36065,Gym and Studio,1,142
170,3619,Restaurant,1697,5904
171,15852,Food and Beverage Retail,4,126
172,6998,"Cafe, Coffee, and Tea House",314,6686
173,3115,Department Store,7,4866
174,3931,Cosmetics Store,50,5102
176,1028,Department Store,19,6293
177,27055,Department Store,10,3478
178,23258,Restaurant,757,2800
179,16451,Fashion Retail,284,6131
180,20591,Fashion Retail,285,6164
181,5150,Fashion Retail,286,6168
182,6331,Fashion Retail,288,6200
183,4359,Fashion Retail,295,6243
184,3849,"Cafe, Coffee, and Tea House",304,6432
185,13460,Lodging,0,58
186,8239,Restaurant,1841,6035
187,30652,Restaurant,12,60
192,4883,Dessert Shop,2,78
193,1613,Bar,127,856
194,3857,Restaurant,2076,6747
195,3767,Fashion Retail,307,6488
196,27601,Food and Beverage Retail,123,6637
198,15437,Restaurant,16,66
199,32271,Bakery,60,6513
200,2555,Department Store,18,5263
201,8029,Furniture and Home Store,0,90
202,3827,Plaza,18,5663
203,8927,"Cafe, Coffee, and Tea House",6,266
214,11443,Fashion Retail,124,3153
215,5100,Restaurant,621,2272
217,11314,Bar,4,78
219,24665,Cosmetics Store,60,5363
220,7077,"Cafe, Coffee, and Tea House",253,5641
221,34315,Restaurant,1992,6522
222,28120,Restaurant,2111,6728
223,1427,Lodging,22,4344
225,16226,Veterinarian,4,4930
226,35,Bar,565,4858
227,1600,Movie Theater,19,3383
228,365,Restaurant,1749,5704
229,22187,Restaurant,1437,4797
230,6032,Restaurant,2136,6762
231,31421,Restaurant,1295,4588
232,14562,Restaurant,1621,5640
234,1614,Bar,565,6074
235,1643,Bar,727,6716
236,25832,Health and Beauty Service,169,5102
237,3163,Bar,366,4427
238,8697,Bar,304,3995
239,36155,Bar,685,6665
240,6957,Plaza,26,3794
241,21543,Restaurant,979,3488
242,34267,Restaurant,2126,6744
243,32038,Restaurant,1651,5257
244,2008,Bar,607,5234
245,32123,Flea Market,4,4767
246,26273,Park,58,4496
247,3764,Park,64,2405
248,3232,Restaurant,669,2190
249,1371,Park,67,2073
250,4593,Restaurant,1472,4763
251,17979,Restaurant,1961,6409
252,2674,Museum,31,3855
253,2719,Museum,14,6010
254,928,Restaurant,1528,4916
256,7436,Lodging,116,6747
257,17525,Soccer,2,4272
258,13779,Hiking Trail,0,4460
259,192,Restaurant,1649,5306
261,2177,Restaurant,1538,4774
262,575,Restaurant,1585,4992
264,2212,Restaurant,2035,6717
265,29156,Sporting Goods Retail,23,5164
266,99,Restaurant,1654,5271
267,3646,Performing Arts Venue,185,3493
268,36014,Fashion Retail,228,5553
269,34307,Bar,556,4928
270,2586,Restaurant,1653,5270
272,24689,Movie Theater,22,5076
273,2845,Restaurant,1756,5634
274,1277,Museum,31,2512
277,11660,Pet Supplies Store,9,6333
278,3160,Other Great Outdoors,30,5004
281,1808,Movie Theater,23,5753
282,26814,Restaurant,1711,5558
284,7106,Fashion Retail,249,4938
285,7784,Museum,31,5067
286,1652,Computers and Electronics Retail,34,4860
287,27270,Landmarks and Outdoors,3,4617
288,19031,Plaza,15,2495
289,2352,"Cafe, Coffee, and Tea House",320,6686
290,14393,Restaurant,1463,5064
296,11731,Boutique,27,6754
297,5936,States and Municipalities,21,6761
