,venueID,category,nearby_same_category,total_nearby
0,4c16fdda96040f477cc473a5,Convenience Store,9,107
1,4ba88a28f964a52028df39e3,Restaurant,637,1863
2,4d69a46cde28224b27ff45be,Bridge,0,4
3,4d1bcae9f8ca236a2ff7f030,Field,0,112
4,4d4f756eedc68eec0391b1a4,Bridge,6,184
5,4b5a86faf964a520d3c928e3,Government Building,15,361
6,4ea03c1c7beb6623c1449ee0,Convenience Store,23,347
7,4b5d2ad2f964a520535529e3,Convenience Store,9,156
8,4b568200f964a520571328e3,Education,10,157
9,4e65fe028877954de9acd8bf,Monument,7,141
10,4b65494af964a520f4eb2ae3,Bridge,12,1900
11,4b5ef108f964a520d89e29e3,Gym and Studio,0,51
12,4b526ed4f964a5201b7d27e3,Park,14,1810
13,4f7b7210e4b0de4ca14a9af8,Food and Beverage Retail,19,508
14,4b553487f964a5208fde27e3,Food and Beverage Retail,34,1819
15,4b98e261f964a520365435e3,Food and Beverage Retail,26,509
16,4b0587a6f964a520529e22e3,Shopping Mall,6,946
17,4b72c558f964a520d2872de3,Restaurant,76,280
18,4b5829f4f964a520a44c28e3,"Cafe, Coffee, and Tea House",126,1835
19,4b63fae9f964a520b4992ae3,Other Great Outdoors,7,993
20,4b5e4928f964a520c68729e3,Restaurant,217,605
21,4b802cabf964a520495930e3,Park,14,1025
22,4b5a3b6cf964a52026b628e3,Restaurant,71,203
23,4c34ee3d09a99c749b4a0c2a,Park,12,526
24,4b6545c5f964a52064eb2ae3,Other Great Outdoors,1,526
25,4b6f881bf964a5209cf42ce3,Park,6,265
26,4ee8aab693ad8b68e9b0c649,Food and Beverage Retail,20,1054
27,4ba5977af964a520d61439e3,Other Great Outdoors,9,1101
28,4c8a6ed952a98cfa1e912ce9,Park,9,217
29,4b9f1364f964a520ab1237e3,"Cafe, Coffee, and Tea House",93,1340
30,4c31783866e40f477521c58b,Bridge,6,1249
31,4e5075afd164978659da0746,Toy Store,22,2551
32,4ba56d50f964a520f70539e3,Structure,20,2547
33,4b57b024f964a520fd3b28e3,Bridge,24,2557
34,4b593260f964a520f58028e3,Government Building,5,216
35,4b746edbf964a5204fdc2de3,Convenience Store,56,1245
36,4c0cdca798102d7fd838e106,Restaurant,14,46
37,4b565e9ff964a5208a0d28e3,"Cafe, Coffee, and Tea House",29,452
38,4b5db97ff964a5209a6829e3,Convenience Store,11,215
39,4b56fc09f964a520c52128e3,Other Great Outdoors,0,378
40,4f72aabce4b0a4b289c3b1c6,Convenience Store,45,943
41,4be3c37799feb713c51882f6,Food and Beverage Retail,20,432
42,4b9909daf964a520545d35e3,Convenience Store,22,364
43,4b56c2aef964a520881a28e3,Miscellaneous Store,14,1860
44,4c9c4ed69c48236a82094dee,Convenience Store,21,427
45,4b5755cdf964a520153228e3,Video Store,2,441
46,4bc8508214d79521afc768e9,Restaurant,956,2509
47,4c1b83960137952198e446f3,Bridge,1,71
48,4cc8d012d338236ab6339f7c,Convenience Store,41,690
49,4b8a02f4f964a5208e5b32e3,Miscellaneous Store,14,643
50,4bea4a646295c9b68a4d8608,Bridge,23,1758
51,4b5b1051f964a5209de128e3,Bridge,23,1103
52,4bb53d352ea195216e3baa2f,Bridge,7,406
