venueID,lat,lng,venue_descr,First_Category,Second_Category
33236,40.717888278718746,-74.00566835256892,Mexican Restaurant,Dining and Drinking,Restaurant
791,40.7337627,-74.006264,Diner,Dining and Drinking,Restaurant
6720,40.640856109588064,-73.78920078277588,Steakhouse,Dining and Drinking,Restaurant
7469,40.722735269306334,-74.01044269795393,Salon / Barbershop,Business and Professional Services,Health and Beauty Service
1328,40.77662441238305,-73.97948193619018,Bar,Dining and Drinking,Bar
5041,40.76768820951128,-73.98503745095212,American Restaurant,Dining and Drinking,Restaurant
4924,40.71969039429001,-74.00854330319025,Sandwich Place,Dining and Drinking,Restaurant
35766,40.720201057694055,-74.00539864440555,Building,Landmarks and Outdoors,Structure
1928,40.72082276989267,-74.01009265985395,Sandwich Place,Dining and Drinking,Restaurant
7264,40.72028975614227,-74.00542733678141,Park,Landmarks and Outdoors,Park
2642,40.720087,-74.003961,Coffee Shop,Dining and Drinking,"Cafe, Coffee, and Tea House"
5848,40.788637113733465,-73.97422471033435,Seafood Restaurant,Dining and Drinking,Restaurant
24553,40.78401843692215,-73.97452399134636,American Restaurant,Dining and Drinking,Restaurant
2149,40.76066701799484,-73.99494767189026,Bar,Dining and Drinking,Bar
23850,40.7641035574988,-73.98672473457826,Korean Restaurant,Dining and Drinking,Restaurant
982,40.76064468176889,-73.9860647444491,Bar,Dining and Drinking,Bar
2521,40.77626803277124,-73.97971724534096,French Restaurant,Dining and Drinking,Restaurant
1308,40.75673068586622,-73.97406974625711,Hotel,Travel and Transportation,Lodging
12420,40.75624659768601,-73.97269228230913,Hotel,Dining and Drinking,Bar
7948,40.75719691767055,-73.96878004074097,Ramen /  Noodle House,Dining and Drinking,Restaurant
30003,40.75730501775622,-73.96864018539301,Bar,Dining and Drinking,Bar
841,40.75881854506599,-73.96865740411552,Burger Joint,Dining and Drinking,Restaurant
2075,40.77917988484352,-73.95085242398278,French Restaurant,Dining and Drinking,Restaurant
29743,40.72516293205118,-73.992159523528,American Restaurant,Dining and Drinking,Restaurant
816,40.728912,-73.9993,Record Shop,Retail,Record Store
2757,40.729658,-73.998515,Bar,Dining and Drinking,Bar
4195,40.72603399174193,-73.99630868324209,Electronics Store,Retail,Computers and Electronics Retail
6266,40.726483,-73.984286,Music Store,Retail,Music Store
21082,40.7254542,-73.9879547,Wings Joint,Dining and Drinking,Restaurant
6427,40.781558,-73.975792,Seafood Restaurant,Dining and Drinking,Restaurant
690,40.73008408039016,-73.98925602436066,Bar,Dining and Drinking,Bar
680,40.73168165030361,-73.99618148803711,Pizza Place,Dining and Drinking,Restaurant
1793,40.79262429971645,-73.95218986347649,History Museum,Arts and Entertainment,Museum
